peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	76R	1	pos	57.05283	U213P9ZW46 O0	[(M+H)-(H2O)-(HCOOH)]+ (13C)	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	103.05831	U313P9ZW48 O2	[(M+H)-(H2O)]+ (13C)	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	75.063395	U213P9ZW48 O	[(M+H)-(HCOOH)]+ (13C)	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	76.039305	P9Z2W46 O2	[(M+H)-(C2H4O)]+	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	120.06552	P9Z4W410 O3	[(M+H)]+	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	143.05082	U313P9ZW49 Na O3	[(M+Na)]+ (13C)	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	76.07569	P9Z3W410 O	[(M+H)-(CO2)]+	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	142.047465	P9Z4W49 Na O3	[(M+Na)]+	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	56.049475	P9Z3W46 O0	[(M+H)-(H2O)-(HCOOH)]+	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
50	76R	1	pos	92.070605	P9Z3W410 O2	[(M+H)-(CO)]+	col12	0.82	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.col12.0.82
