peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	76R	1	pos	57.033491	P90Z3W45 O	[(M+H)-(NH3)-(HCOOH)]+	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	124.0369	P9Z4W47 Na O2	[(M+Na)-(H2O)]+	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	122.069764	P9Z4W410 O2 18O	[(M+H)]+ (18O)	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	104.059199	P9Z4W48 O 18O	[(M+H)-(H2O)]+ (18O)	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	121.062555	P90Z4W410 15N O3	[(M+H)]+ (15N)	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	78.054955	P9Z2W48 O2	[(M+H)-(C2H2O)]+	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	58.065125	P9Z3W48 O0	[(M+H)-(H2O)-(CO2)]+	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	121.068875	U313P9ZW410 O3	[(M+H)]+ (13C)	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	123.073119	U313P9ZW410 O2 18O	[(M+H)]+ (13C) (18O)	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
50	76R	1	pos	76.07569	P9Z3W410 O	[(M+H)-(CO2)]+	colzz	4.12	J19L4M6O3	119.05824	L-vroomumil	min	76R.pos.colzz.4.12
