peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	A10	1	pos	191.076694	P92Z6W413 Na2 O2	[(M-H+2Na)]+	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	75.063395	U413P92Z2W416 O2	[(M+2H)]++ (13C2)	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
100	A10	1	pos	149.117048	P92Z6W415 O 18O	[(M+H)]+ (18O)	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	337.182222	P94Z12W427 Na2 O4	[(2M-H+2Na)]+	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	51.0573	P92Z5W414 O0	[(M+2H)-(HCOOH)]++	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	251.032367	U6H13 Cl0 37Cl N2 Na3 O2	[(M-H+2Na)+(NaCl)]+ (37Cl)	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	130.105594	U513P92ZW413 O	[(M+H)-(H2O)]+ (13C)	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	73.08413	U313P9ZW410 O0	[(M+H)-(J15L2M6O2)]+ (13C)	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	316.203632	U1113P94ZW428 Na O4	[(2M+Na)]+ (13C)	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	113.059706	P90Z6W49 O2	[(M+H)-2(NH3)]+	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	130.086255	P9Z6W412 O2	[(M+H)-(NH3)]+	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
50	A10	1	pos	74.5617175	U513P92ZW416 O2	[(M+2H)]++ (13C)	colzz2	4.08	J114L6M62O2	146.10553	Blablaine	min	A10.pos.colzz2.4.08
