peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	A103	1	pos	153.148348	P92Z6W419 O 18O	[(2M+H)]+ (18O)	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	173.126049	P92Z6W418 Na O2	[(2M+Na)]+	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	78.079934	P9Z3W410 O0 18O	[(M+H)]+ (18O)	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	77.079045	U213P9ZW410 O	[(M+H)]+ (13C)	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	59.06848	U213P9ZW48 O0	[(M+H)-(H2O)]+ (13C)	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	75.063395	U213P9ZW48 O	[(2M+H)-(J19L3M6)-(H2O)]+ (13C)	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	59.07295	P9Z3W49 O0	[(M+H)-(OH•)]+	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	58.065125	P9Z3W48 O0	[(M+H)-(H2O)]+	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	151.144104	P92Z6W419 O2	[(2M+H)]+	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
50	A103	1	pos	74.06004	P9Z3W48 O	[(2M+H)-(J19L3M6)-(H2O)]+	colzz	8.75	J19L3M6O	75.06841	6-α-jusdecarotine	min	A103.pos.colzz.8.75
