peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	J89	1	neg	279.132627	P92Z12W420 Na O4	[(2M-2H+Na)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	415.107477	P92Z14W422 Na3 O8	[(2M-2H+Na)+2(HCOONa)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	339.0883	U12H20 Cl0 37Cl N2 Na2 O4	[(2M-2H+Na)+(NaCl)]- (37Cl)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	175.080538	U613P9ZW412 O4	[(M-H)+(HCOOH)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	430.193551	P93Z18W430 Na2 O6	[(3M-3H+2Na)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	278.120332	U1113P92ZW418 Na O4	[(2M-2H+Na)-(H2)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	499.184331	U1813P93ZW431 Na3 O8	[(3M-3H+2Na)+(HCOONa)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	337.09125	U12H20 Cl N2 Na2 O4	[(2M-2H+Na)+(NaCl)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	197.062483	U613P9ZW411 Na O4	[(M-H)+(HCOONa)]- (13C)	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
50	J89	1	neg	488.152174	U18H30 Cl N3 Na3 O6	[(3M-3H+2Na)+(NaCl)]-	colAA	2.6	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.neg.colAA.2.6
