peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	J89	1	pos	259.165234	P92Z12W423 O4	[(2M+H)]+	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	133.093854	U513P9ZW412 O 18O	[(M+H)]+ (13C) (18O)	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	85.08413	U413P9ZW410 O0	[(M+H)-(HCOOH)]+ (13C)	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	411.229513	U1713P93ZW433 Na O6	[(3M+Na)]+ (13C)	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	410.226158	P93Z18W433 Na O6	[(3M+Na)]+	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	131.08329	P90Z6W412 15N O2	[(M+H)]+ (15N)	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	132.092965	U413P9Z2W412 O2	[(M+H)]+ (13C2)	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	260.168589	U1113P92ZW423 O4	[(2M+H)]+ (13C)	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	130.086255	P9Z6W412 O2	[(M+H)]+	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	84.080775	P9Z5W410 O0	[(M+H)-(HCOOH)]+	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
50	J89	1	pos	132.090499	P9Z6W412 O 18O	[(M+H)]+ (18O)	colzz2	2.64	J111L6M6O2	129.07898	Zopic acid;Chababacid	min	J89.pos.colzz2.2.64
