peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	K12	1	pos	52.5668025	U413P92ZW416	[(M+2H)]++ (13C)	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	52.5636425	P9Z5W416 15N	[(M+2H)]++ (15N)	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	52.065125	P92Z5W416	[(M+2H)]++	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	103.122974	P92Z5W415	[(M+H)]+	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	70.073231	U413P90ZW49	[(M+H)-2(NH3)]+ (13C)	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	74.096425	P9Z4W412	[(M+H)-(J13LM6)]+	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	104.126329	U413P92ZW415	[(M+H)]+ (13C)	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	85.08413	U413P9ZW410	[(M+H)-(H2)-(NH3)]+ (13C)	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	102.110679	U413P92ZW413	[(M+H)-(H2)]+ (13C)	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	86.096425	P9Z5W412	[(M+H)-(NH3)]+	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	58.065125	P9Z3W48	[(M+H)-(J17L2M6)]+	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
50	K12	1	pos	105.129684	U313P92Z2W415	[(M+H)]+ (13C2)	col12	0.77	J114L5M62	102.1157	Pompomine	min	K12.pos.col12.0.77
