peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	K12	1	pos	53.06848	U313P92Z2W416	[(M+2H)]++ (13C2)	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	52.5636425	P9Z5W416 15N	[(M+2H)]++ (15N)	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	52.065125	P92Z5W416	[(M+2H)]++	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	72.080775	P9Z4W410	[(M+H)-(J15LM6)]+	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	105.129684	U313P92Z2W415	[(M+H)]+ (13C2)	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	87.09978	U413P9ZW412	[(M+H)-(NH3)]+ (13C)	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	101.107324	P92Z5W413	[(M+H)-(H2)]+	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	58.065125	P9Z3W48	[(M+H)-(J17L2M6)]+	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	69.069876	P90Z5W49	[(M+H)-2(NH3)]+	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	84.080775	P9Z5W410	[(M+H)-(H2)-(NH3)]+	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
50	K12	1	pos	87.09346	P90Z5W412 15N	[(M+H)-(NH3)]+ (15N)	colzz	9.14	J114L5M62	102.1157	Pompomine	min	K12.pos.colzz.9.14
