peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	K12	1	pos	104.120009	P9Z5W415 15N	[(M+H)]+ (15N)	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	52.5636425	P9Z5W416 15N	[(M+2H)]++ (15N)	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	105.129684	U313P92Z2W415	[(M+H)]+ (13C2)	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	103.122974	P92Z5W415	[(M+H)]+	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	87.09978	U413P9ZW412	[(M+H)-(NH3)]+ (13C)	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	52.065125	P92Z5W416	[(M+2H)]++	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	101.107324	P92Z5W413	[(M+H)-(H2)]+	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	58.065125	P9Z3W48	[(M+H)-(J17L2M6)]+	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	69.069876	P90Z5W49	[(M+H)-2(NH3)]+	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	84.080775	P9Z5W410	[(M+H)-(H2)-(NH3)]+	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
50	K12	1	pos	87.09346	P90Z5W412 15N	[(M+H)-(NH3)]+ (15N)	hcoltt	0.8	J114L5M62	102.1157	Pompomine	min	K12.pos.hcoltt.0.8
