peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	L17	1	pos	84.063729	U313P92ZW47	[(M+H)-(J15L2M6)]+ (13C)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	84.080775	P9Z5W410	[(M+H)-(J12LM62)]+	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	63.5549245	P93Z6W413	[(M+2H)]++	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	148.084518	P93Z6W411 Na	[(M+Na)]+	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	84.5698765	U713P94ZW416	[(M+2H)+(CH3CN)]++ (13C)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	84.057409	P9Z4W47 15N	[(M+H)-(J15L2M6)]+ (15N)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	252.201225	U1113P96ZW423	[(2M+H)]+ (13C)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	85.08413	U413P9ZW410	[(M+H)-(J12LM62)]+ (13C)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	64.053442	P92Z6W413 15N	[(M+2H)]++ (15N)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	64.056602	U513P93ZW413	[(M+2H)]++ (13C)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	208.040191	U6H11 Cl0 37Cl N3 Na2	[(M+Na)+(NaCl)]+ (37Cl)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	105.042319	P92Z4W46 Na	[(M+Na)-(J15L2M6)]+	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	127.105928	U513P93ZW412	[(M+H)]+ (13C)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
50	L17	1	pos	128.109283	U413P93Z2W412	[(M+H)]+ (13C2)	somecol	6.195	J111L6M63	125.0953	Clafamine	min	L17.pos.somecol.6.195
