peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	P5	1	neg	366.058797	U813P92ZW416 Na3 O9	[(M-H)+3(HCOONa)]- (13C)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	298.071372	U713P92ZW415 Na2 O7	[(M-H)+2(HCOONa)]- (13C)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	183.075112	P92Z6W412 Na O3	[(M-2H+Na)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	199.066895	U6H14 Cl0 37Cl N2 O3	[(M+Cl)]- (37Cl)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	403.134178	U12H26 Cl N4 Na2 O6	[(2M-2H+Na)+(NaCl)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	297.068017	P92Z8W415 Na2 O7	[(M-H)+2(HCOONa)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	413.16298	P94Z13W427 Na2 O8	[(2M-2H+Na)+(HCOONa)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	222.052195	U513C H13 Cl0 37Cl N2 Na O3	[(M-H)+(NaCl)]- (13C+37Cl)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	549.13783	P94Z15W429 Na4 O12	[(2M-2H+Na)+3(HCOONa)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	230.083947	U613P92ZW414 Na O5	[(M-H)+(HCOONa)]- (13C)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	324.196965	U1113P94ZW427 O6	[(2M-H)]- (13C)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	229.080592	P92Z7W414 Na O5	[(M-H)+(HCOONa)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	346.17891	U1113P94ZW426 Na O6	[(2M-2H+Na)]- (13C)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	365.055442	P92Z9W416 Na3 O9	[(M-H)+3(HCOONa)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	144.085957	U513P92ZW411 O2	[(M-H)-(H2O)]- (13C)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	143.082602	P92Z6W411 O2	[(M-H)-(H2O)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	481.150405	P94Z14W428 Na3 O10	[(2M-2H+Na)+2(HCOONa)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	501.030292	P92Z11W418 Na5 O13	[(M-H)+5(HCOONa)]-	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
50	P5	1	neg	405.131228	U12H26 Cl0 37Cl N4 Na2 O6	[(2M-2H+Na)+(NaCl)]- (37Cl)	somecol	8.335	J114L6M62O3	162.10044	Abracadabrine	min	P5.neg.somecol.8.335
