peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	P5	1	pos	164.104754	P9Z6W415 15N O3	[(M+H)]+ (15N)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	146.08117	P9Z6W412 O3	[(M+H)-(NH3)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	146.100509	U513P92ZW413 O2	[(M+H)-(H2O)]+ (13C)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	347.190107	P94Z12W428 Na O6	[(2M+Na)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	391.153997	P94Z12W426 Na3 O6	[(2M-2H+3Na)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	73.052215	P92Z6W414 O2	[(M+2H)-(H2O)]++	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	163.107719	P92Z6W415 O3	[(M+H)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	154.047465	P9Z5W49 Na O3	[(M+Na)-(J15LM6)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	370.175407	U1113P94ZW427 Na2 O6	[(2M-H+2Na)]+ (13C)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	527.128847	P94Z14W428 Na5 O10	[(2M-2H+3Na)+2(HCOONa)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	82.0574975	P92Z6W416 O3	[(M+2H)]++	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	575.236385	P96Z18W439 Na4 O9	[(3M-3H+4Na)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	459.141422	P94Z13W427 Na4 O8	[(2M-2H+3Na)+(HCOONa)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	325.208162	P94Z12W429 O6	[(2M+H)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	82.559175	U513P92ZW416 O3	[(M+2H)]++ (13C)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	89.079045	U313P9ZW410 O	[(M+H)-(J15L2M6O2)]+ (13C)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	82.556015	P9Z6W416 15N O3	[(M+2H)]++ (15N)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	100.07569	P9Z5W410 O	[(M+H)-(NH3)-(HCOOH)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	99.091674	P92Z5W411 O0	[(M+H)-(H2O)-(HCOOH)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	59.556435	U413P92ZW414 O	[(M+2H)-(HCOOH)]++ (13C)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	265.030232	U6H13 Cl N2 Na3 O3	[(M-H+2Na)+(NaCl)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	189.061044	P92Z6W411 Na2 O2	[(M-H+2Na)-(H2O)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	343.046459	P92Z8W415 Na4 O7	[(M-H+2Na)+2(HCOONa)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	128.070605	P9Z6W410 O2	[(M+H)-(H2O)-(NH3)]+	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	197.1014315	P94Z13W431 Na O8	[(2M+2H)+(HCOONa)]++	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
50	P5	1	pos	83.0608525	U413P92Z2W416 O3	[(M+2H)]++ (13C2)	hcoltt	0.9	J114L6M62O3	162.10044	Abracadabrine	min	P5.pos.hcoltt.0.9
