peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	T1078	1	pos	207.14204	U813P9ZW420 O4	[(M+H)]+ (13C)	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	209.146284	U813P9ZW420 O3 18O	[(M+H)]+ (13C) (18O)	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	229.123985	U813P9ZW419 Na O4	[(M+Na)]+ (13C)	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	205.12639	U813P9ZW418 O4	[(M+H)-(H2)]+ (13C)	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	102.054955	P9Z4W48 O2	[(M+H)-(C5H12O2)]+	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	188.12812	P9Z9W418 O3	[(M+H)-(H2O)]+	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	433.252039	P92Z18W438 Na O8	[(2M+Na)]+	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	76.07569	P9Z3W410 O	[(M+H)-(C6H10O3)]+	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	176.12812	P9Z8W418 O3	[(M+H)-(CH2O)]+	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	208.145395	U713P9Z2W420 O4	[(M+H)]+ (13C2)	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	228.12063	P9Z9W419 Na O4	[(M+Na)]+	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	230.124874	P9Z9W419 Na O3 18O	[(M+Na)]+ (18O)	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
50	T1078	1	pos	434.255394	U1713P92ZW438 Na O8	[(2M+Na)]+ (13C)	colzz	11.02	J119L9M6O4	205.13141	Canapenol	min	T1078.pos.colzz.11.02
