peak.relative.intensity	compound.id	ms.level	ms.mode	peak.mztheo	peak.comp	peak.attr	chrom.col.name	chrom.rt	formula	molecular.mass	name	chrom.rt.unit	accession
50	U761	1	pos	123.055289	P92Z6W47 O	[(M+H)]+	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	80.049475	P9Z5W46 O0	[(M+H)-(NHCO)]+	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	78.033825	P9Z5W44 O0	[(M+H)-(NH3CO)]+	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	169.060769	P92Z7W49 O3	[(M+H)+(HCOOH)]+	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	106.02874	P9Z6W44 O	[(M+H)-(NH3)]+	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	96.04439	P9Z5W46 O	[(M+H)-(HCN)]+	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	125.059533	P92Z6W47 O0 18O	[(M+H)]+ (18O)	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	124.052324	P9Z6W47 15N O	[(M+H)]+ (15N)	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	126.065354	U313P92Z3W47 O	[(M+H)]+ (13C3)	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	124.058644	U513P92ZW47 O	[(M+H)]+ (13C)	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
50	U761	1	pos	125.061999	U413P92Z2W47 O	[(M+H)]+ (13C2)	col12	1.32	J16L6M62O	122.04801	Coquelicol;Paquerettol	min	U761.pos.col12.1.32
